mz,diff,reference,formula,formula_isotopefree,formula_ion,homseries,totalc,H.C,O.C,C,H,O,N,S,P,Cl,Na,C13
876.1548394,0.4298647,877.1624929,C_50 H_28 O_13 N_2 C13_1,C51H28N2O13,C_50 H_27 O_13 N_2 C13_1,4,51,0.549,0.255,50,28,13,2,0,0,0,0,1
876.1913683,0.2661826,877.1988783,C_51 H_32 O_12 N_2 C13_1,C52H32N2O12,C_51 H_31 O_12 N_2 C13_1,2,52,0.615,0.231,51,32,12,2,0,0,0,0,1
876.3003598,0.4538853,877.3080344,C_54 H_44 O_9 N_2 C13_1,C55H44N2O9,C_54 H_43 O_9 N_2 C13_1,2,55,0.8,0.164,54,44,9,2,0,0,0,0,1
877.1103126,0.2245838,878.1177862,C_40 H_30 O_23,C40H30O23,C_40 H_29 O_23,77,40,0.75,0.575,40,30,23,0,0,0,0,0,0
877.1320804,0.5026082,878.1389155,C_37 H_34 O_25,C37H34O25,C_37 H_33 O_25,328,37,0.919,0.676,37,34,25,0,0,0,0,0,0
877.146698,0.224546,878.1541716,C_41 H_34 O_22,C41H34O22,C_41 H_33 O_22,100,41,0.829,0.537,41,34,22,0,0,0,0,0,0
877.1681528,0.146194,878.1753009,C_38 H_38 O_24,C38H38O24,C_38 H_37 O_24,340,38,1,0.632,38,38,24,0,0,0,0,0,0
877.1834352,0.1760825,878.190557,C_42 H_38 O_21,C42H38O21,C_42 H_37 O_21,102,42,0.905,0.5,42,38,21,0,0,0,0,0,0
877.2042698,0.1594479,878.2116862,C_39 H_42 O_23,C39H42O23,C_39 H_41 O_23,355,39,1.077,0.59,39,42,23,0,0,0,0,0,0
877.2197851,0.1356927,878.2269424,C_43 H_42 O_20,C43H42O20,C_43 H_41 O_20,121,43,0.977,0.465,43,42,20,0,0,0,0,0,0
877.2411195,0.3692384,878.2480716,C_40 H_46 O_22,C40H46O22,C_40 H_45 O_22,363,40,1.15,0.55,40,46,22,0,0,0,0,0,0
